Date,Number,Date,delta
2021-06-21,33608506,2021-06-21,11673
2021-06-22,33619231,2021-06-22,10725
2021-06-23,33632232,2021-06-23,13001
2021-06-24,33646009,2021-06-24,13777
2021-06-25,33670274,2021-06-25,24265
2021-06-26,33678918,2021-06-26,8644
2021-06-27,33683169,2021-06-27,4251
2021-06-28,33697745,2021-06-28,14576
2021-06-29,33704435,2021-06-29,6690
2021-06-30,33720689,2021-06-30,16254
2021-07-01,33735128,2021-07-01,14439
2021-07-02,33764550,2021-07-02,29422
2021-07-03,33769176,2021-07-03,4626
2021-07-04,33772933,2021-07-04,3757
2021-07-05,33781561,2021-07-05,8628
2021-07-06,33804602,2021-07-06,23041
2021-07-07,33827555,2021-07-07,22953
2021-07-08,33846677,2021-07-08,19122
2021-07-09,33894307,2021-07-09,47630
2021-07-10,33902606,2021-07-10,8299
2021-07-11,33913402,2021-07-11,10796
2021-07-12,33947050,2021-07-12,33648
2021-07-13,33973284,2021-07-13,26234
2021-07-14,34006026,2021-07-14,32742
2021-07-15,34036009,2021-07-15,29983
2021-07-16,34113900,2021-07-16,77891
2021-07-17,34125618,2021-07-17,11718
2021-07-18,34144863,2021-07-18,19245
2021-07-19,34195943,2021-07-19,51080
2021-07-20,34237704,2021-07-20,41761
2021-07-21,34288095,2021-07-21,50391
2021-07-22,34342829,2021-07-22,54734
2021-07-23,34463216,2021-07-23,120387
2021-07-24,34488230,2021-07-24,25014
2021-07-25,34512344,2021-07-25,24114
2021-07-26,34599299,2021-07-26,86955
2021-07-27,34667713,2021-07-27,68414
2021-07-28,34736801,2021-07-28,69088
2021-07-29,34816325,2021-07-29,79524
2021-07-30,35005461,2021-07-30,189136
2021-07-31,35037755,2021-07-31,32294
2021-08-01,35079208,2021-08-01,41453
2021-08-02,35199930,2021-08-02,120722
2021-08-03,35302681,2021-08-03,102751
2021-08-04,35399526,2021-08-04,96845
2021-08-05,35510190,2021-08-05,110664
2021-08-06,35765271,2021-08-06,255081
2021-08-07,35814019,2021-08-07,48748
2021-08-08,35840582,2021-08-08,26563
2021-08-09,36021800,2021-08-09,181218
2021-08-10,36142769,2021-08-10,120969
2021-08-11,36298808,2021-08-11,156039
2021-08-12,36440784,2021-08-12,141976
2021-08-13,36670536,2021-08-13,229752
2021-08-14,36719435,2021-08-14,48899
2021-08-15,36761162,2021-08-15,41727
2021-08-16,36981227,2021-08-16,220065
